uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
20150f0c-6181-5834-8a60-332abc1d3e2e,,use_phase,processes/20150f0c-6181-5834-8a60-332abc1d3e2e.xml,1,kg,EU+EFTA+UK,use_phase,,,Thermobonding oven is used as a proxy because it used the same technology for carpet drying or non-w,scraped_from_ilcd
cb2b56d1-9202-5de2-a5aa-ba137ef2e75e,,use_phase,processes/cb2b56d1-9202-5de2-a5aa-ba137ef2e75e.xml,1,kg,EU+EFTA+UK,use_phase,,,"In this model, two machines are used for specialist maintenance, i.e. machine for cleaning synthetic",scraped_from_ilcd
bc70167f-8393-5c88-8380-bb1503c9da6f,,use_phase,processes/bc70167f-8393-5c88-8380-bb1503c9da6f.xml,1,kg,EU+EFTA+UK,use_phase,,,"In in-line / automation oven, imoisture content can be used to drives the drying process rather than",scraped_from_ilcd
a2e6c77c-42c4-5b27-8254-d11e53d66a89,,use_phase,processes/a2e6c77c-42c4-5b27-8254-d11e53d66a89.xml,1,kg,GLO,use_phase,,,"The process steps covered within the processes contributing to this mix are:
- drying in electric ov",scraped_from_ilcd
64a6aac2-7cb4-5c1a-9c27-3b3bf8b83677,,use_phase,processes/64a6aac2-7cb4-5c1a-9c27-3b3bf8b83677.xml,1,kg,GLO,use_phase,,,The process starts at collecting and transporting; followed by washing and drying. The recovered inp,scraped_from_ilcd
25b6db7b-20fa-5575-adc4-fea41a2d656c,,use_phase,processes/25b6db7b-20fa-5575-adc4-fea41a2d656c.xml,1,kg,GLO,use_phase,,,The process starts at collecting and transporting; followed by washing and drying. The recovered inp,scraped_from_ilcd
67f3f815-8c32-5186-950b-1c6596bea91b,,use_phase,processes/67f3f815-8c32-5186-950b-1c6596bea91b.xml,1,kg,GLO,use_phase,,,Lasting is the operation that stretches the shoe upper over the foot form or last. For the side and ,scraped_from_ilcd
4ca37c00-6eb2-536c-b2df-2eb0f789b021,,use_phase,processes/4ca37c00-6eb2-536c-b2df-2eb0f789b021.xml,1,kg,EU+EFTA+UK,use_phase,,,Steps of handwashing clothes: Pre-treat any stains and/or pre-soak your clothes if needed. Fill up y,scraped_from_ilcd
295479fa-594f-5ee8-aae0-a778f6bdda2b,,use_phase,processes/295479fa-594f-5ee8-aae0-a778f6bdda2b.xml,1,kg,EU+EFTA+UK,use_phase,,,"In in-line / automation oven, imoisture content can be used to drives the drying process rather than",scraped_from_ilcd
8efddee0-70cb-5ae5-aaae-e4accf3da646,,use_phase,processes/8efddee0-70cb-5ae5-aaae-e4accf3da646.xml,1,kg,EU+EFTA+UK,use_phase,,,Steps of handwashing clothes: Pre-treat any stains and/or pre-soak your clothes if needed. Fill up y,scraped_from_ilcd
c052c2fb-ec07-5ade-946e-6d6a472aad9b,,use_phase,processes/c052c2fb-ec07-5ade-946e-6d6a472aad9b.xml,1,kg,GLO,use_phase,,,The process starts at collecting and transporting; followed by washing and drying. The recovered inp,scraped_from_ilcd
0d547cf2-ae66-556c-b516-e127d8355336,,use_phase,processes/0d547cf2-ae66-556c-b516-e127d8355336.xml,1,kg,GLO,use_phase,,,"This process includes cleaning (buffing, trimming and waxing) and washing of shoes at the very end o",scraped_from_ilcd
a4b22f98-75e7-5d83-9202-948e6554605f,,use_phase,processes/a4b22f98-75e7-5d83-9202-948e6554605f.xml,1,kg,EU+EFTA+UK,use_phase,,,"In in-line / automation oven, imoisture content can be used to drives the drying process rather than",scraped_from_ilcd
8f189511-251f-55c4-97e1-6c8cc503fd7f,,use_phase,processes/8f189511-251f-55c4-97e1-6c8cc503fd7f.xml,1,kg,EU+EFTA+UK,use_phase,,,"In in-line / automation oven, imoisture content can be used to drives the drying process rather than",scraped_from_ilcd
