uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
0ee9a2c6-78a3-4605-97f5-d9e71e67e8a7,,energy,processes/0ee9a2c6-78a3-4605-97f5-d9e71e67e8a7.xml,1,kg,SE,energy,,,"Foreground system:
The electricity is either produced in a natural gasl specific power plants and/o",scraped_from_ilcd
4f1ece6c-9fec-4c3d-b991-253ef79f6e46,,energy,processes/4f1ece6c-9fec-4c3d-b991-253ef79f6e46.xml,1,kg,ROW,energy,,,"Foreground system:
The thermal energy is produced in light fuel oil (LFO) specific heat plants. Als",scraped_from_ilcd
d412a126-3cec-4f0c-b01f-62d661255673,,energy,processes/d412a126-3cec-4f0c-b01f-62d661255673.xml,1,kg,SK,energy,,,"Foreground system:
The hydro power plant model consists of three sub-models: These sub-models are: ",scraped_from_ilcd
1b90c100-011c-45c3-be66-97c23d85b54f,,energy,processes/1b90c100-011c-45c3-be66-97c23d85b54f.xml,1,kg,SI,energy,,,"Foreground system:
The model comprises the production of electricity from a mix of pressure water (",scraped_from_ilcd
ed3651ed-38fa-4468-a22a-62e30bf028e7,,energy,processes/ed3651ed-38fa-4468-a22a-62e30bf028e7.xml,1,kg,HU,energy,,,"Foreground system:
The electricity is either produced in a hard coal specific power plants and/or c",scraped_from_ilcd
228597ec-9ee1-41ff-bade-f035904601f1,,energy,processes/228597ec-9ee1-41ff-bade-f035904601f1.xml,1,kg,FI,energy,,,"Foreground system:
The national or regional specific electricity consumption mix is provided by the",scraped_from_ilcd
60f9b2d4-be69-4edf-8827-8c3153b01d82,,energy,processes/60f9b2d4-be69-4edf-8827-8c3153b01d82.xml,1,kg,IE,energy,,,"Foreground system:
The electricity is either produced in a biogas specific power plants and/or comb",scraped_from_ilcd
9bf6d691-e630-4bb0-b091-5c935f762f8a,,energy,processes/9bf6d691-e630-4bb0-b091-5c935f762f8a.xml,1,kg,RAS w/o CN,energy,,,"Foreground system:
The model represents the country specific mix of different types of biogas. Thre",scraped_from_ilcd
df396074-f171-5416-9281-8477cfaabb8c,,energy,processes/df396074-f171-5416-9281-8477cfaabb8c.xml,1,kg,WORLD (WITHOUT EU+EFTA+UK),energy,,,Pulp is produced in a thermomechanical process where wood particles are softened by steam before ent,scraped_from_ilcd
602a3d96-4f85-4127-9262-a087ce244532,,energy,processes/602a3d96-4f85-4127-9262-a087ce244532.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
6c10d9e1-95b1-4c1f-a101-3ba37a7a0a82,,energy,processes/6c10d9e1-95b1-4c1f-a101-3ba37a7a0a82.xml,1,kg,ROW,energy,,,"Foreground system:
The process steam is produced in hard coal specific heat plants. Also considered",scraped_from_ilcd
0860b436-54d7-4101-8077-b8a3b778b0f0,,energy,processes/0860b436-54d7-4101-8077-b8a3b778b0f0.xml,1,kg,IN,energy,,,"Foreground system:
The model comprises the production of electricity from a mix of pressure water (",scraped_from_ilcd
b420aac8-c747-50fc-9369-6f3dfab3fc5c,,energy,processes/b420aac8-c747-50fc-9369-6f3dfab3fc5c.xml,1,kg,EU+EFTA+UK,energy,,,Pulp is produced in a thermomechanical process where wood particles are softened by steam before ent,scraped_from_ilcd
f498f98d-f763-5b99-9b89-395d8bbeb854,,energy,processes/f498f98d-f763-5b99-9b89-395d8bbeb854.xml,1,kg,EU+EFTA+UK,energy,,,Pulp is produced in a thermomechanical process where wood particles are softened by steam before ent,scraped_from_ilcd
16c69e7a-6d53-50ae-aafb-1a8e59ea4718,,energy,processes/16c69e7a-6d53-50ae-aafb-1a8e59ea4718.xml,1,kg,ES,energy,,,"System boundaries include olive farming, olive oil extraction with pomace as a co-product and pomace",scraped_from_ilcd
de6fd3f7-662e-44fa-82e1-6032aaf75c05,,energy,processes/de6fd3f7-662e-44fa-82e1-6032aaf75c05.xml,1,kg,RO,energy,,,"Foreground system:
The electricity is either produced in a biomass (solid) specific power plants an",scraped_from_ilcd
85bf6aa6-9c22-43f9-9626-37690e31fc74,,energy,processes/85bf6aa6-9c22-43f9-9626-37690e31fc74.xml,1,kg,SE,energy,,,"Foreground system:
The electricity is either produced in a biomass (solid) specific power plants an",scraped_from_ilcd
cc8ee5f1-84b3-4e04-bae3-6a531aafb606,,energy,processes/cc8ee5f1-84b3-4e04-bae3-6a531aafb606.xml,1,kg,EU+EFTA+UK,energy,,,"Foreground system:

PE production
The basis for the production of polyethylene is crude oil. Ther",scraped_from_ilcd
709bf23c-880b-5b5f-907f-9353f354da88,,energy,processes/709bf23c-880b-5b5f-907f-9353f354da88.xml,1,kg,GLO,energy,,,"System boundaries include olive farming, olive oil extraction with pomace as a co-product and pomace",scraped_from_ilcd
255e0de8-c536-417f-96a6-8249d74381c3,,energy,processes/255e0de8-c536-417f-96a6-8249d74381c3.xml,1,kg,FR,energy,,,"Foreground system:
The electricity is either produced in a natural gasl specific power plants and/o",scraped_from_ilcd
