uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
602a3d96-4f85-4127-9262-a087ce244532,,energy,processes/602a3d96-4f85-4127-9262-a087ce244532.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
95b88740-a3ba-448f-b059-c6ef4c429f31,,energy,processes/95b88740-a3ba-448f-b059-c6ef4c429f31.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
7bf9621f-2071-4e1d-8c10-eeb7bff08bfe,,energy,processes/7bf9621f-2071-4e1d-8c10-eeb7bff08bfe.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
5ba9ecd8-5b27-59e6-ab3e-703d5db115d4,,energy,processes/5ba9ecd8-5b27-59e6-ab3e-703d5db115d4.xml,1,kg,GLO,energy,,,Data represents waxing process. During waxing electricity and wax (paraffin) are consumed. Electrici,scraped_from_ilcd
2b103975-4c34-5331-9452-6baee5acd291,,energy,processes/2b103975-4c34-5331-9452-6baee5acd291.xml,1,kg,GLO,energy,,,"Compression molding is a method of molding in which the molding material, generally preheated, is fi",scraped_from_ilcd
cabaea00-c632-5c07-a269-7cfd1120ec8c,,energy,processes/cabaea00-c632-5c07-a269-7cfd1120ec8c.xml,1,kg,GLO,energy,,,"Polyurethane foam is made by reacting diisocyanates with polyols, both of them derived from oil, and",scraped_from_ilcd
a51c8438-92fd-59c1-b121-7f8f0f6095f8,,energy,processes/a51c8438-92fd-59c1-b121-7f8f0f6095f8.xml,1,kg,GLO,energy,,,"Polyurethane foam is made by reacting diisocyanates with polyols, both of them derived from oil, and",scraped_from_ilcd
2e72379f-fc62-51e9-9a2e-f0ae9bc539f2,,energy,processes/2e72379f-fc62-51e9-9a2e-f0ae9bc539f2.xml,1,kg,GLO,energy,,,Rotary die cutting involves the unwinding of material that is then put through a hydraulic press. Af,scraped_from_ilcd
fd7c791d-9ea7-516d-bbae-2c333a484589,,energy,processes/fd7c791d-9ea7-516d-bbae-2c333a484589.xml,1,kg,GLO,energy,,,"Monomers are introduced with the plasma feed gas. Monomers are small molecules which will, under the",scraped_from_ilcd
eb076dcd-07cf-4400-a8ce-a30ea144b903,,energy,processes/eb076dcd-07cf-4400-a8ce-a30ea144b903.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
31f30bed-038a-51e1-b546-2e7e23413cbd,,energy,processes/31f30bed-038a-51e1-b546-2e7e23413cbd.xml,1,kg,GLO,energy,,,Rotary die cutting involves the unwinding of material that is then put through a hydraulic press. Af,scraped_from_ilcd
30f4d132-77be-4557-8376-d717849e9910,,energy,processes/30f4d132-77be-4557-8376-d717849e9910.xml,1,kg,GLO,energy,,,"The process ""universal tractor"" had been set up in order to model the general exhaust-gas characteri",scraped_from_ilcd
3f4a251f-fa36-5816-ba8e-dd63a173babe,,energy,processes/3f4a251f-fa36-5816-ba8e-dd63a173babe.xml,1,kg,GLO,energy,,,"Polyurethane foam is made by reacting diisocyanates with polyols, both of them derived from oil, and",scraped_from_ilcd
53361510-265b-512a-bd8a-df95e17c3de7,,energy,processes/53361510-265b-512a-bd8a-df95e17c3de7.xml,1,kg,GLO,energy,,,Rotary die cutting involves the unwinding of material that is then put through a hydraulic press. Af,scraped_from_ilcd
e08d739b-31b5-5b53-9702-a9f56d90a036,,energy,processes/e08d739b-31b5-5b53-9702-a9f56d90a036.xml,1,kg,GLO,energy,,,"Monomers are introduced with the plasma feed gas. Monomers are small molecules which will, under the",scraped_from_ilcd
bc1ed6f1-1afe-537a-8775-2089b448bcd4,,energy,processes/bc1ed6f1-1afe-537a-8775-2089b448bcd4.xml,1,kg,GLO,energy,,,The boarding process applies live steam or dry heat to garment that are stretched over wire or solid,scraped_from_ilcd
b136f4bf-741d-5f4d-8531-799eb05c0cd2,,energy,processes/b136f4bf-741d-5f4d-8531-799eb05c0cd2.xml,1,kg,GLO,energy,,,"Compression molding is a method of molding in which the molding material, generally preheated, is fi",scraped_from_ilcd
c96bc8da-cb48-5f95-9052-22efc2202acd,,energy,processes/c96bc8da-cb48-5f95-9052-22efc2202acd.xml,1,kg,GLO,energy,,,"Polyurethane foam is made by reacting diisocyanates with polyols, both of them derived from oil, and",scraped_from_ilcd
77999940-67fc-58f1-9370-296c0c1ddb0f,,energy,processes/77999940-67fc-58f1-9370-296c0c1ddb0f.xml,1,kg,GLO,energy,,,"Monomers are introduced with the plasma feed gas. Monomers are small molecules which will, under the",scraped_from_ilcd
b69ac218-d9ad-5b2e-9a7f-38d2c1c84d96,,energy,processes/b69ac218-d9ad-5b2e-9a7f-38d2c1c84d96.xml,1,kg,GLO,energy,,,Rotary die cutting involves the unwinding of material that is then put through a hydraulic press. Af,scraped_from_ilcd
7726bff7-e331-55e2-b61c-27efa89eb507,,energy,processes/7726bff7-e331-55e2-b61c-27efa89eb507.xml,1,kg,GLO,energy,,,The boarding process applies live steam or dry heat to garment that are stretched over wire or solid,scraped_from_ilcd
5ed61b7c-1319-53ca-9715-fabb5168543f,,energy,processes/5ed61b7c-1319-53ca-9715-fabb5168543f.xml,1,kg,GLO,energy,,,"The process of thermoplastic welding consists of the same basic elements: heat, pressure, and coolin",scraped_from_ilcd
3015ddfe-c9ec-5474-9ea8-d572a9d04b38,,energy,processes/3015ddfe-c9ec-5474-9ea8-d572a9d04b38.xml,1,kg,GLO,energy,,,Data represents waxing process. During waxing electricity and wax (paraffin) are consumed. Electrici,scraped_from_ilcd
ddc133b2-c5cb-595b-8de0-da2e17b6b7ba,,energy,processes/ddc133b2-c5cb-595b-8de0-da2e17b6b7ba.xml,1,kg,GLO,energy,,,"The process of thermoplastic welding consists of the same basic elements: heat, pressure, and coolin",scraped_from_ilcd
8308d8b5-e5b0-5fcd-89ef-0da606d72e29,,energy,processes/8308d8b5-e5b0-5fcd-89ef-0da606d72e29.xml,1,kg,GLO,energy,,,"Monomers are introduced with the plasma feed gas. Monomers are small molecules which will, under the",scraped_from_ilcd
ba6482ac-a68b-4b97-bfeb-c5c7898a3366,,energy,processes/ba6482ac-a68b-4b97-bfeb-c5c7898a3366.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
d085c793-01d8-5c86-8af1-7b8dc0e4f48c,,energy,processes/d085c793-01d8-5c86-8af1-7b8dc0e4f48c.xml,1,kg,GLO,energy,,,The autoclave vulcanizing tank has the function of curing the shoe rubber using an electrical heatin,scraped_from_ilcd
8fa37a39-b026-59a7-adbc-ff74d3b157bd,,energy,processes/8fa37a39-b026-59a7-adbc-ff74d3b157bd.xml,1,kg,GLO,energy,,,The boarding process applies live steam or dry heat to garment that are stretched over wire or solid,scraped_from_ilcd
cd2e5248-0a03-5a0e-a9e4-ec359c5b5def,,energy,processes/cd2e5248-0a03-5a0e-a9e4-ec359c5b5def.xml,1,kg,GLO,energy,,,The autoclave vulcanizing tank has the function of curing the shoe rubber using an electrical heatin,scraped_from_ilcd
e23f0e3b-8cc0-569b-ba94-6fdab05d674b,,energy,processes/e23f0e3b-8cc0-569b-ba94-6fdab05d674b.xml,1,kg,GLO,energy,,,"Compression molding is a method of molding in which the molding material, generally preheated, is fi",scraped_from_ilcd
3716673f-7945-5185-b957-df73a3c4ada9,,energy,processes/3716673f-7945-5185-b957-df73a3c4ada9.xml,1,kg,GLO,energy,,,"Compression molding is a method of molding in which the molding material, generally preheated, is fi",scraped_from_ilcd
1d2e90ef-de0c-58b1-8318-cf39649edbf7,,energy,processes/1d2e90ef-de0c-58b1-8318-cf39649edbf7.xml,1,kg,GLO,energy,,,The boarding process applies live steam or dry heat to garment that are stretched over wire or solid,scraped_from_ilcd
cc2dbc1c-c918-5a0a-91a4-533ed1d171e5,,energy,processes/cc2dbc1c-c918-5a0a-91a4-533ed1d171e5.xml,1,kg,GLO,energy,,,The autoclave vulcanizing tank has the function of curing the shoe rubber using an electrical heatin,scraped_from_ilcd
8621856e-09dc-4770-9de3-23958b0fafbf,,energy,processes/8621856e-09dc-4770-9de3-23958b0fafbf.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
ae3f22bd-2707-59fa-a5b7-58995a9944c1,,energy,processes/ae3f22bd-2707-59fa-a5b7-58995a9944c1.xml,1,kg,GLO,energy,,,"The process of thermoplastic welding consists of the same basic elements: heat, pressure, and coolin",scraped_from_ilcd
68be63b0-ffda-5cfa-aafd-a915cd51f7e8,,energy,processes/68be63b0-ffda-5cfa-aafd-a915cd51f7e8.xml,1,kg,GLO,energy,,,"The process of thermoplastic welding consists of the same basic elements: heat, pressure, and coolin",scraped_from_ilcd
514f3536-de3c-5501-b30d-4702a4132327,,energy,processes/514f3536-de3c-5501-b30d-4702a4132327.xml,1,kg,GLO,energy,,,The autoclave vulcanizing tank has the function of curing the shoe rubber using an electrical heatin,scraped_from_ilcd
7eecf417-5de3-5272-9cbe-e868aac1dd2a,,energy,processes/7eecf417-5de3-5272-9cbe-e868aac1dd2a.xml,1,kg,GLO,energy,,,Data represents waxing process. During waxing electricity and wax (paraffin) are consumed. Electrici,scraped_from_ilcd
dfedd752-9729-4c97-bde6-d3e2f7032006,,energy,processes/dfedd752-9729-4c97-bde6-d3e2f7032006.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
6d2be009-c0ba-402f-a1e1-a11d6f607e91,,energy,processes/6d2be009-c0ba-402f-a1e1-a11d6f607e91.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
001f25c7-9902-4a03-9a97-3f0578ef168b,,energy,processes/001f25c7-9902-4a03-9a97-3f0578ef168b.xml,1,kg,EU+EFTA+UK,energy,,,"Mass and material composition of corresponding production dataset used, energy used for dismantling ",scraped_from_ilcd
757fbff1-ff8c-5878-9725-b120c04973bd,,energy,processes/757fbff1-ff8c-5878-9725-b120c04973bd.xml,1,kg,GLO,energy,,,Data represents waxing process. During waxing electricity and wax (paraffin) are consumed. Electrici,scraped_from_ilcd
33ab9446-9f0a-47ba-be84-9252bb547423,,energy,processes/33ab9446-9f0a-47ba-be84-9252bb547423.xml,1,kg,EU+EFTA,energy,,,"Production of Silane, until the gate of the production plant. Included are raw materials, energy use",scraped_from_ilcd
