key,item,dataset_name,uuid,file,fu_unit,region,kg_per_m2,notes
corrugated_cardboard,Cardboard,Carton board {EU+EFTA+UK} | Kraft Pulping Process ·  pulp pressing and drying ·  box manufacturing | production mix ·  at plant | 280 g/m2 | LCI result,d05c4b39-2e68-43bb-9875-fba8fd1333a6,packaging/ef_d05c4b39.xml,kg,Europe,0.28,
hangtag_paper_m2,Hangtag ·  paper,Label ·  paper {EU+EFTA+UK} | Kraft pulping process ·  label production | production mix ·  at plant | thickness: 77 um ·  grammage: 90 g/m2 | LCI result,7db01ade-8476-4c20-9c0b-7faff30d9f9f,packaging/ef_7db01ade.xml,m2,Europe,0.3,
hangtag_plastic_m2,Hangtag ·  plastic,Label ·  plastic {EU+EFTA+UK} | Polymerisation of ethylene ·  label production by extrusion | production mix ·  at plant | thickness: 100 um ·  grammage: 0.0943 kg/m2 | LCI result,3087a31b-a9f1-4fad-ad9b-2d7b88111f60,packaging/ef_3087a31b.xml,m2,Europe,0.7,
"incineration,_cardboard_7296",Incineration ·  cardboard,Waste incineration of paper and board {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment ·  including transport and pre-treatment | production mix ·  at consumer | paper waste | LCI result,b6ce954d-deb4-4c16-907a-c67b71e1e862,packaging/ef_b6ce954d.xml,kg,Europe,,
"incineration,_ldpe_2183",Incineration ·  LDPE,Waste incineration of PE {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment ·  including transport and pre-treatment | production mix ·  at consumer | polyethylene waste | LCI result,0370baaf-8923-4e26-b3b8-abcebb89f974,packaging/ef_0370baaf.xml,kg,Europe,,
"incineration,_pallet_5882",Incineration ·  pallet,Waste incineration of processed wood {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment ·  including transport and pre-treatment | production mix ·  at consumer | wood waste | LCI result,034b2afb-2aa4-4d64-99b5-f39f700f3d44,packaging/ef_034b2afb.xml,kg,Europe,,
kraft_paper,Kraft paper,Kraft paper {EU+EFTA+UK} | technology mix | production mix ·  at plant | kg | LCI result,b150ff20-ba72-5711-89b6-17d0dad0c7a2,packaging/ef_b150ff20.xml,kg,Europe,,
"landfill,_cardboard_2542",Landfill ·  cardboard,Landfill of paper and paperboard waste {EU+EFTA+UK} | LCI result,86ff0001-4794-4df5-a1d4-083a9d986b62,packaging/ef_86ff0001.xml,kg,Europe,,
"landfill,_ldpe_7708",Landfill ·  LDPE,Landfill of plastic waste {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites) ·  at landfill site | The carbon and water content are respectively of 62%C and and 0% Water (in weight %) | LCI result,f2bea0f5-e4b7-4a2c-9f34-4eb32495cbc6,packaging/ef_f2bea0f5.xml,kg,Europe,,
"landfill,_pallet_4612",Landfill ·  pallet,Landfill of processed wood {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites) ·  at landfill site | The carbon and water content are respectively of 45%C and and 8% Water (in weight %) | LCI result,0907b969-c8a5-4317-84b3-04ad0a04447e,packaging/ef_0907b969.xml,kg,Europe,,
pallet_wood,Pallets,Pallet ·  wood (80x120) {EU+EFTA+UK} | sawing ·  piling ·  nailing | single route ·  at plant | 25 kg/piece ·  nominal loading capacity of 1000kg | LCI result,3203d6d8-2760-4b7b-b1c6-f82681e9e2f3,packaging/ef_3203d6d8.xml,kg,Europe,,
paper_bag_kraft,Paper sack ·  Kraft,Paper sack {EU+EFTA+UK} | Kraft Pulping Process ·  pulp pressing and drying | production mix ·  at plant | Kraft Sack Paper | LCI result,d262e73e-701c-404e-8398-e73dd4e795c9,packaging/ef_d262e73e.xml,kg,Europe,,
polybag_ldpe,Polybag,Plastic bag ·  LDPE {EU+EFTA+UK} | raw material production ·  plastic extrusion | production mix ·  at plant | thickness: 0.03 mm ·  grammage: 0.0275 kg/m2 | LCI result,d53d7b71-871e-45ac-8268-81f822514f0a,packaging/ef_d53d7b71.xml,m2,GLO,0.0368,
"recycling,_ldpe_2870",Recycling ·  LDPE,Recycling of post-industrial waste polyethylene (PE) {EU+EFTA+UK} | collection ·  sorting ·  transport ·  washing ·  granulation ·  pelletization | production mix ·  at plant | 91.2% recycling rate | Partly terminated system,86034c65-32b3-4a85-9241-1930c5c2495a,packaging/ef_86034c65.xml,kg,Europe,,
