uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
175ea1af-32b0-49a6-a453-587591880d58,,electronics,processes/175ea1af-32b0-49a6-a453-587591880d58.xml,1,kg,RAS,electronics,,,"The multi-output-process """"MG-silicon, to purification"""" delivers the co-products """"silicon, electro",scraped_from_ilcd
ffbeae6c-2a62-42a2-a85f-6a34b89b67de,,electronics,processes/ffbeae6c-2a62-42a2-a85f-6a34b89b67de.xml,1,kg,EU-28+EFTA,electronics,,,"The main battery technology for existing UPS products is lead acid. This is a sealed, valve regulate",scraped_from_ilcd
2a157ff2-3f7a-58e5-b2e3-832c1509557f,,electronics,processes/2a157ff2-3f7a-58e5-b2e3-832c1509557f.xml,1,kg,RAS,electronics,,,"According to industry knowledge, there is no difference among the production of bark chips of differ",scraped_from_ilcd
53cc549a-8a11-5093-92c0-19d2a43bb9ad,,electronics,processes/53cc549a-8a11-5093-92c0-19d2a43bb9ad.xml,1,kg,DE,electronics,,,"According to industry knowledge, there is no difference among the production of bark chips of differ",scraped_from_ilcd
f33fea07-d0a4-4b50-9737-14319b6db31c,,electronics,processes/f33fea07-d0a4-4b50-9737-14319b6db31c.xml,1,kg,RAS,electronics,,,"1 square metre of wafer surface of Wafer, multi-Si, at plant (APAC)",scraped_from_ilcd
99d05131-ef9e-5696-9a78-c5cfbf5112ea,,electronics,processes/99d05131-ef9e-5696-9a78-c5cfbf5112ea.xml,1,kg,EU+EFTA+UK,electronics,,,The activity is an average of softwood chips produced in the forestry and softwood chips produced at,scraped_from_ilcd
981e9ec7-4e2b-4a33-93e9-77b5bd7b1103,,electronics,processes/981e9ec7-4e2b-4a33-93e9-77b5bd7b1103.xml,1,kg,GLO,electronics,,,"The process name for semiconductors contains following information: component type, e.g. IC, LED; ho",scraped_from_ilcd
45f4c982-e44f-5da9-afa3-5561cb6f45e0,,electronics,processes/45f4c982-e44f-5da9-afa3-5561cb6f45e0.xml,1,kg,GLO,electronics,,,"In this model, silicone is used as the waterproofing chemical.  Most of the silicone-based products ",scraped_from_ilcd
d3d4ce69-9082-55f0-b68e-d0811ad2dce2,,electronics,processes/d3d4ce69-9082-55f0-b68e-d0811ad2dce2.xml,1,kg,EU+EFTA+UK,electronics,,,"Processes include chipping, screening of chips, cooking of the chips to pulp by the semichemical coo",scraped_from_ilcd
b24ab599-4891-4fbd-ae02-059c8a8f4e76,,electronics,processes/b24ab599-4891-4fbd-ae02-059c8a8f4e76.xml,1,kg,EU-28+EFTA,electronics,,,"The main battery technology for existing UPS products is lead acid. This is a sealed, valve regulate",scraped_from_ilcd
27f18feb-4aa7-4c49-a495-6849945890bf,,electronics,processes/27f18feb-4aa7-4c49-a495-6849945890bf.xml,1,kg,EU+EFTA+UK,electronics,,,"Foreground system:
Electronic waste is collected and transported to the recycling plant. The electr",scraped_from_ilcd
5a98603a-4819-4322-a5ca-8b345265ccda,,electronics,processes/5a98603a-4819-4322-a5ca-8b345265ccda.xml,1,kg,EU+EFTA+UK,electronics,,,"Foreground system:
This dataset represent the production of silicone fluids (highly viscous).

In",scraped_from_ilcd
76811455-83c8-4be4-a292-e1bc92eb8ad8,,electronics,processes/76811455-83c8-4be4-a292-e1bc92eb8ad8.xml,1,kg,EU+EFTA,electronics,,,Production of silicon tetrachloride. System boundaries: gate of the silicon tetrachloride production,scraped_from_ilcd
d075aefd-1f25-511f-98ec-e44bc348132c,,electronics,processes/d075aefd-1f25-511f-98ec-e44bc348132c.xml,1,kg,EU+EFTA+UK,electronics,,,"In this model, silicone is used as the repellent active ingredient and a hot melt spray coating mach",scraped_from_ilcd
04eba532-65a3-59cb-ae82-42aac4f9728b,,electronics,processes/04eba532-65a3-59cb-ae82-42aac4f9728b.xml,1,kg,EU+EFTA+UK,electronics,,,"The input of wood (195.965 kg), sawdust (24.109 kg), slab and siding ( 124.218 kg), and wood chips (",scraped_from_ilcd
1fa0f000-28a2-50f3-96af-36d363175f2a,,electronics,processes/1fa0f000-28a2-50f3-96af-36d363175f2a.xml,1,kg,GLO,electronics,,,"In this model, silicone is used as the waterproofing chemical.  Most of the silicone-based products ",scraped_from_ilcd
ad080198-db3c-4a88-81fb-3185c474ffef,,electronics,processes/ad080198-db3c-4a88-81fb-3185c474ffef.xml,1,kg,EU+EFTA,electronics,,,Gate to gate inventory for recycling of slurry produced during wire sawing of silicon (Spec. Weight ,scraped_from_ilcd
94c2d153-5e96-4493-959e-02f2f923bd01,,electronics,processes/94c2d153-5e96-4493-959e-02f2f923bd01.xml,1,kg,GLO,electronics,,,"Foreground system:
This dataset is based on a generic model of an an electronic component.
Select ",scraped_from_ilcd
