uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
0ee9a2c6-78a3-4605-97f5-d9e71e67e8a7,,metals,processes/0ee9a2c6-78a3-4605-97f5-d9e71e67e8a7.xml,1,kg,SE,metals,,,"Foreground system:
The electricity is either produced in a natural gasl specific power plants and/o",scraped_from_ilcd
4f1ece6c-9fec-4c3d-b991-253ef79f6e46,,metals,processes/4f1ece6c-9fec-4c3d-b991-253ef79f6e46.xml,1,kg,ROW,metals,,,"Foreground system:
The thermal energy is produced in light fuel oil (LFO) specific heat plants. Als",scraped_from_ilcd
d412a126-3cec-4f0c-b01f-62d661255673,,metals,processes/d412a126-3cec-4f0c-b01f-62d661255673.xml,1,kg,SK,metals,,,"Foreground system:
The hydro power plant model consists of three sub-models: These sub-models are: ",scraped_from_ilcd
98e0af06-0b2e-4a28-b6dd-9b629f7094fe,,metals,processes/98e0af06-0b2e-4a28-b6dd-9b629f7094fe.xml,1,kg,RAF,metals,,,"Foreground system:
The Sphera landfill model is adapted to the region of this dataset by using info",scraped_from_ilcd
ce53fdee-3b4f-4bc2-ad18-2a095fa18c0e,,metals,processes/ce53fdee-3b4f-4bc2-ad18-2a095fa18c0e.xml,1,kg,RAF,metals,,,"Foreground system:
The Sphera landfill model is adapted to the region of this dataset by using info",scraped_from_ilcd
b4828e6f-20a7-4489-9b42-ea2b7bf7cd2b,,metals,processes/b4828e6f-20a7-4489-9b42-ea2b7bf7cd2b.xml,1,kg,GLO,metals,,,"Foreground system:
The process accounted here is the mining of copper ore and the concentration of ",scraped_from_ilcd
e2397117-536b-4a88-9e26-c4228fa7bd68,,metals,processes/e2397117-536b-4a88-9e26-c4228fa7bd68.xml,1,kg,EU+EFTA+UK,metals,,,"Foreground system:
Brasses are alloys of copper and zinc and are medium and strength engineering ma",scraped_from_ilcd
fb0786e0-46ce-5c1f-8e1b-fc654e803ee9,,metals,processes/fb0786e0-46ce-5c1f-8e1b-fc654e803ee9.xml,1,kg,SE,metals,,,Sawdust is produced as a by-product of wood sawing. The sawdust is stored and transported within the,scraped_from_ilcd
1b90c100-011c-45c3-be66-97c23d85b54f,,metals,processes/1b90c100-011c-45c3-be66-97c23d85b54f.xml,1,kg,SI,metals,,,"Foreground system:
The model comprises the production of electricity from a mix of pressure water (",scraped_from_ilcd
b0769fb0-bd13-4b14-a400-47819103ad08,,metals,processes/b0769fb0-bd13-4b14-a400-47819103ad08.xml,1,kg,EU+EFTA+UK,metals,,,"Foreground system:
The data set represents a typical municipal waste landfill with surface and basi",scraped_from_ilcd
84edb17a-79de-4cd7-8340-02b289b30312,,metals,processes/84edb17a-79de-4cd7-8340-02b289b30312.xml,1,kg,EU+EFTA+UK,metals,,,"Foreground system:
The common raw material for aluminium production, bauxite is composed primarily ",scraped_from_ilcd
1739a600-8e46-4595-ba49-867b8d6f9a11,,metals,processes/1739a600-8e46-4595-ba49-867b8d6f9a11.xml,1,kg,EU+EFTA+UK,metals,,,"Foreground system:
Aluminium profiles are produced through the extrusion process. These profiles ar",scraped_from_ilcd
dcdee2ca-bfa0-5edd-b150-f1b6437fe054,,metals,processes/dcdee2ca-bfa0-5edd-b150-f1b6437fe054.xml,1,kg,GLO,metals,,,Wet-white metal tanning refers to a variety of processes that avoid the use of chromium. Substitutes,scraped_from_ilcd
ed3651ed-38fa-4468-a22a-62e30bf028e7,,metals,processes/ed3651ed-38fa-4468-a22a-62e30bf028e7.xml,1,kg,HU,metals,,,"Foreground system:
The electricity is either produced in a hard coal specific power plants and/or c",scraped_from_ilcd
c7f28f2a-f262-49ad-ba96-0cab313b186f,,metals,processes/c7f28f2a-f262-49ad-ba96-0cab313b186f.xml,1,kg,EU+EFTA+UK,metals,,,"Foreground system:
The metal waste is collected and transported to the recycling plant. The materia",scraped_from_ilcd
228597ec-9ee1-41ff-bade-f035904601f1,,metals,processes/228597ec-9ee1-41ff-bade-f035904601f1.xml,1,kg,FI,metals,,,"Foreground system:
The national or regional specific electricity consumption mix is provided by the",scraped_from_ilcd
