uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
430be454-6d52-5316-8536-48d8c6f79665,,construction,processes/430be454-6d52-5316-8536-48d8c6f79665.xml,1,kg,GLO,construction,,,Knitting is a method by which yarn is manipulated to create a textile or fabric. Seamless knitting r,scraped_from_ilcd
b70a3763-0a20-5967-9304-88bcf65a0fae,,construction,processes/b70a3763-0a20-5967-9304-88bcf65a0fae.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
3f16a49a-5d6a-57a5-bb75-6f265e8b80ba,,construction,processes/3f16a49a-5d6a-57a5-bb75-6f265e8b80ba.xml,1,kg,GLO,construction,,,Flame lamination is used to adhere polyurethane foam to a textile material. A web of foam from a sup,scraped_from_ilcd
ee9683da-1c83-5767-92fb-7e6fbec5ef33,,construction,processes/ee9683da-1c83-5767-92fb-7e6fbec5ef33.xml,1,kg,GLO,construction,,,"Knitting is a method by which yarn is manipulated to create a textile or fabric.

A user employing t",scraped_from_ilcd
a31940ad-67e4-50bf-a514-10b9ee1cbb0a,,construction,processes/a31940ad-67e4-50bf-a514-10b9ee1cbb0a.xml,1,kg,GLO,construction,,,"The application process, which is done by passing the textile product through the liquor in a bath w",scraped_from_ilcd
c981b392-ead1-5a24-bcd3-0d7e1711631b,,construction,processes/c981b392-ead1-5a24-bcd3-0d7e1711631b.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
3ecebb7f-9fdc-562d-83fc-0d652a057cfc,,construction,processes/3ecebb7f-9fdc-562d-83fc-0d652a057cfc.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
7f8e9382-f999-52cd-a83b-5cb259d6b809,,construction,processes/7f8e9382-f999-52cd-a83b-5cb259d6b809.xml,1,kg,GLO,construction,,,Flame lamination is used to adhere polyurethane foam to a textile material. A web of foam from a sup,scraped_from_ilcd
2d03d61d-fa69-5850-9b17-ff2d67e0b531,,construction,processes/2d03d61d-fa69-5850-9b17-ff2d67e0b531.xml,1,kg,EU+EFTA+UK,construction,,,"Knitting is a method by which yarn is manipulated to create a textile or fabric.

A user employing t",scraped_from_ilcd
c69ed043-74c5-45eb-b683-e167fb2562df,,construction,processes/c69ed043-74c5-45eb-b683-e167fb2562df.xml,1,kg,GLO,construction,,,"Truck as heavy or light duty vehicle for road transport. Variable parameters are: payload, utilisati",scraped_from_ilcd
0a1f708d-4e69-5577-a0e9-9c6793a4701f,,construction,processes/0a1f708d-4e69-5577-a0e9-9c6793a4701f.xml,1,kg,GLO,construction,,,Shearing is a finishing process in textile manufacturing. The raised nap of a pile fabric are cut to,scraped_from_ilcd
fd3a4b35-870a-57d1-a0e4-fa2c0d151d46,,construction,processes/fd3a4b35-870a-57d1-a0e4-fa2c0d151d46.xml,1,kg,GLO,construction,,,"For the electricity consumption, different type of textile product printing machine electricity cons",scraped_from_ilcd
385b4cd4-0a05-54a5-a0cb-28bc35dc6aaf,,construction,processes/385b4cd4-0a05-54a5-a0cb-28bc35dc6aaf.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
cf754c76-3378-59e7-aa14-cea25ab4ba0f,,construction,processes/cf754c76-3378-59e7-aa14-cea25ab4ba0f.xml,1,kg,GLO,construction,,,Transfer printing is the term used to describe textile and related printing processes in which the d,scraped_from_ilcd
21c8e278-1c3e-5a61-8f6a-ae1b8ed20f0b,,construction,processes/21c8e278-1c3e-5a61-8f6a-ae1b8ed20f0b.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
9d66ea49-1617-5558-a294-1b231fc8923f,,construction,processes/9d66ea49-1617-5558-a294-1b231fc8923f.xml,1,kg,EU+EFTA+UK,construction,,,The infills materials used in this process is silica sand. Which is typically inexpensive and works ,scraped_from_ilcd
e855e16f-63a1-52de-8a66-f02be65fdf46,,construction,processes/e855e16f-63a1-52de-8a66-f02be65fdf46.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
84845007-281e-5da1-9ad7-a437ca7c2ae3,,construction,processes/84845007-281e-5da1-9ad7-a437ca7c2ae3.xml,1,kg,GLO,construction,,,Knitting is a method by which yarn is manipulated to create a textile or fabric. 3D knitting takes a,scraped_from_ilcd
ee5e5d13-ccd5-54bb-bdcc-4e16b9fe0259,,construction,processes/ee5e5d13-ccd5-54bb-bdcc-4e16b9fe0259.xml,1,kg,GLO,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
77314e20-119d-5b77-9bee-5af5606288f7,,construction,processes/77314e20-119d-5b77-9bee-5af5606288f7.xml,1,kg,EU+EFTA+UK,construction,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
